id,consultant_id,service_type,title,description,prices,price_descriptions,delivery_type,standard_turnaround_hours,duration_minutes,rush_available,rush_turnarounds,max_active_orders,is_active,allows_group_sessions,max_group_size,total_bookings,avg_rating,metadata,created_at,updated_at
90d9fc8a-7013-4592-ab14-ea2fe82c18c5,a948a7a6-7535-45c1-95dc-6ebb8fa72b34,essay_review,Comprehensive Essay Review,"In-depth review of your college essays with line-by-line feedback, structural suggestions, and content recommendations","{45,75,120}","{""Single Essay"",""2-3 Essays"",""Full Application""}",async,48,,true,"{""1.5x"": 24, ""2x"": 12, ""3x"": 6}",5,true,false,1,68,4.93,{},2025-05-30T18:45:02.695020Z,2025-05-30T18:45:02.695020Z
5d3c64dc-523d-44d9-93a2-8d8cfe331ec9,a948a7a6-7535-45c1-95dc-6ebb8fa72b34,mock_interview,Elite College Interview Prep,1-hour mock interview with Harvard interviewer experience,{85},"{""60 Minutes""}",scheduled,,60,false,{},5,true,false,1,42,4.9,{},2025-05-31T18:45:02.695039Z,2025-05-31T18:45:02.695039Z
dea8c96d-c2e3-462f-9595-8475dc1d0cd3,a948a7a6-7535-45c1-95dc-6ebb8fa72b34,application_strategy,Full Application Strategy Session,Comprehensive review of your entire application strategy,{150},"{""90 Minutes""}",scheduled,,90,false,{},5,true,false,1,22,4.95,{},2025-06-01T18:45:02.695050Z,2025-06-01T18:45:02.695050Z
c7fcd629-8bf1-4334-bb2e-1a3a96867dc2,a948a7a6-7535-45c1-95dc-6ebb8fa72b34,school_list_help,School Selection Consultation,Personalized school list based on your profile and goals,{65},"{""Standard""}",async,24,,true,"{""1.5x"": 24, ""2x"": 12, ""3x"": 6}",5,true,false,1,10,4.88,{},2025-06-02T18:45:02.695058Z,2025-06-02T18:45:02.695058Z
304dc9b9-d39b-4e27-81c9-9ce10ccf0ab1,f287b0f4-6204-40ae-9272-592af357cc80,resume_help,Tech Resume Optimization,ATS-optimized resume for FAANG and tech companies,"{40,65}","{""Review Only"",""Full Rewrite""}",async,24,,true,"{""1.5x"": 24, ""2x"": 12, ""3x"": 6}",5,true,false,1,45,4.87,{},2025-05-30T18:45:02.695066Z,2025-05-30T18:45:02.695066Z
28821818-f330-49b3-97fc-48816bbd8483,f287b0f4-6204-40ae-9272-592af357cc80,mock_interview,Technical Interview Coaching,Leetcode-style interview with ex-Google intern,"{95,140}","{""1 Hour"",""1.5 Hours""}",scheduled,,60,false,{},5,true,true,4,38,4.89,{},2025-05-31T18:45:02.695072Z,2025-05-31T18:45:02.695072Z
49a3bef3-a933-45a8-8413-cfdafac719fd,f287b0f4-6204-40ae-9272-592af357cc80,coding_help,CS Project Review,Portfolio and GitHub profile optimization,{55},"{""Standard""}",async,48,,true,"{""1.5x"": 24, ""2x"": 12, ""3x"": 6}",5,true,false,1,15,4.85,{},2025-06-01T18:45:02.695079Z,2025-06-01T18:45:02.695079Z
175c4497-9f25-464c-b274-f0dea6c12c20,dfca436c-036a-4194-9b00-a821dd6591a4,sat_tutoring,SAT Math Intensive,Personalized SAT math prep from perfect scorer,"{65,95}","{""1 Hour"",""1.5 Hours""}",scheduled,,60,false,{},5,true,true,6,78,4.96,{},2025-05-30T18:45:02.695086Z,2025-05-30T18:45:02.695086Z
23d80158-34e9-492b-82cd-f03d9319406a,dfca436c-036a-4194-9b00-a821dd6591a4,sat_tutoring,SAT Full Test Strategy,Complete SAT strategy session with practice test review,{120},"{""2 Hours""}",scheduled,,120,false,{},5,true,false,1,32,4.94,{},2025-05-31T18:45:02.695092Z,2025-05-31T18:45:02.695092Z
208286d2-49d3-4c64-844a-9a152c6aa606,dfca436c-036a-4194-9b00-a821dd6591a4,application_help,STEM Application Review,MIT student reviews your STEM applications,"{50,80}","{""Single School"",""Multiple Schools""}",async,72,,true,"{""1.5x"": 24, ""2x"": 12, ""3x"": 6}",5,true,false,1,28,4.93,{},2025-06-01T18:45:02.695099Z,2025-06-01T18:45:02.695099Z
48711149-c206-44ea-bea5-89fcf3d49953,dfca436c-036a-4194-9b00-a821dd6591a4,essay_review,STEM Essay Excellence,Technical essay review for engineering applicants,"{40,65}","{""Quick Review"",""Deep Dive""}",async,48,,true,"{""1.5x"": 24, ""2x"": 12, ""3x"": 6}",5,true,false,1,18,4.97,{},2025-06-02T18:45:02.695105Z,2025-06-02T18:45:02.695105Z
e833fdef-82f4-43e3-af95-c45437ce7493,592147d1-1492-4d53-b4c7-09bfbb684c02,essay_review,Literary Essay Analysis,Yale English major perfects your essays,"{55,85,120}","{""Basic"",""Standard"",""Premium""}",async,48,,true,"{""1.5x"": 24, ""2x"": 12, ""3x"": 6}",5,false,false,1,52,4.76,{},2025-05-30T18:45:02.695112Z,2025-05-30T18:45:02.695112Z
d2a600b9-7d54-46dc-a357-76664eb5be86,592147d1-1492-4d53-b4c7-09bfbb684c02,school_specific_advice,Ivy League Insider Tips,Former admissions reader shares secrets,{75},"{""60 Minutes""}",scheduled,,60,false,{},5,false,false,1,20,4.73,{},2025-05-31T18:45:02.695118Z,2025-05-31T18:45:02.695118Z
f4835bae-52cd-4ba6-9a3f-7e2fd5de5ade,f1ca40f8-cb70-440e-b7d3-685fa42c5c1e,test_prep,MCAT Comprehensive Prep,524 scorer teaches MCAT strategy,"{85,125}","{""2 Hours"",""3 Hours""}",scheduled,,120,false,{},5,true,true,3,32,4.84,{},2025-05-30T18:45:02.695124Z,2025-05-30T18:45:02.695124Z
d673f620-0e1a-4c40-8f32-19a8fac86b64,f1ca40f8-cb70-440e-b7d3-685fa42c5c1e,application_help,Medical School Application Review,Complete med school application guidance,"{65,95}","{""Primary App"",""Primary + Secondaries""}",async,72,,true,"{""1.5x"": 24, ""2x"": 12, ""3x"": 6}",5,true,false,1,18,4.81,{},2025-05-31T18:45:02.695130Z,2025-05-31T18:45:02.695130Z
2369b30a-41e5-478c-9f19-b201c07beadc,f1ca40f8-cb70-440e-b7d3-685fa42c5c1e,mock_interview,Medical School Interview Prep,MMI and traditional interview practice,{90},"{""90 Minutes""}",scheduled,,90,false,{},5,true,false,1,8,4.78,{},2025-06-01T18:45:02.695136Z,2025-06-01T18:45:02.695136Z
6b259dcf-c7e3-4119-9a5e-cb90f734cf58,7cefd294-6775-497d-a13a-373eea813373,resume_help,MBA Resume Perfection,MBA Resume Perfection service description,{75},"{""Standard""}",async,,60,false,{},5,true,false,1,28,4.71,{},2025-06-04T18:45:02.695144Z,2025-06-04T18:45:02.695144Z
